CIK,"('exchange_and_symbol', 'variation_0')",market_cap_at_prediction_date
2488,Nasdaq:AMD,103197710000
4127,Nasdaq:SWKS,14043224000
4904,Nasdaq:AEP,45159814895
6281,Nasdaq:ADI,75355269380
6951,Nasdaq:AMAT,73657500000
8670,Nasdaq:ADP,96221175000
50863,Nasdaq:INTC,111467010000
72903,Nasdaq:XEL,35850380000
75362,Nasdaq:PCAR,30129614580
77476,Nasdaq:PEP,228045000000
97476,Nasdaq:TXN,147532320000
277948,Nasdaq:CSX,56649720000
318154,Nasdaq:AMGN,123285400000
319201,Nasdaq:KLAC,44725372469
320193,Nasdaq:AAPL,2263918391350
707549,Nasdaq:LRCX,53003494240
712515,Nasdaq:EA,33081360000
718877,Nasdaq:ATVI,58223880000
723125,Nasdaq:MU,56374800000
723254,Nasdaq:CTAS,40740175080
723531,Nasdaq:PAYX,41407030000
745732,Nasdaq:ROST,29408635199
769397,Nasdaq:ADSK,41571360000
773840,Nasdaq:HON,119795592000
789019,Nasdaq:MSFT,1793753740000
796343,Nasdaq:ADBE,132636600000
798354,NYSE:FI,61288266000
804328,Nasdaq:QCOM,131520840000
813672,Nasdaq:CDNS,45926048520
815556,Nasdaq:FAST,27192382000
827054,Nasdaq:MCHP,34962072000
829224,Nasdaq:SBUX,98334570000
858877,Nasdaq:CSCO,169619320000
865752,Nasdaq:MNST,46527763110
872589,Nasdaq:REGN,78732423000
874716,Nasdaq:IDXX,27922219120
875045,Nasdaq:BIIB,38085630000
875320,Nasdaq:VRTX,76409767000
878927,Nasdaq:ODFL,29418682939
882095,Nasdaq:GILD,78211600000
883241,Nasdaq:SNPS,48498573960
891103,NASDAQ:MTCH,14207317920
896878,Nasdaq:INTU,111500800000
898173,Nasdaq:ORLY,44942175630
900075,Nasdaq:CPRT,26102127675
901832,Nasdaq:AZN,171982800000
908937,Nasdaq:SIRI,22947760000
909832,Nasdaq:COST,212034250010
935703,Nasdaq:DLTR,31474630000
937966,Nasdaq:ASML,170470432000
1013462,Nasdaq:ANSS,19845016470
1014473,Nasdaq:VRSN,19346470000
1018724,Nasdaq:AMZN,1184525360000
1035267,Nasdaq:ISRG,67888696000
1045810,Nasdaq:NVDA,310672960000
1048286,Nasdaq:MAR,44563200000
1058290,Nasdaq:CTSH,30577540000
1060736,Nasdaq:SGEN,25429885199
1065088,Nasdaq:EBAY,20136020000
1065280,Nasdaq:NFLX,106300609920
1075531,Nasdaq:BKNG,64679099320
1091667,Nasdaq:CHTR,51724037189
1093557,Nasdaq:DXCM,33091212000
1097149,Nasdaq:ALGN,10562373360
1099590,Nasdaq:MELI,44419704951
1103982,Nasdaq:MDLZ,77086800000
1109357,Nasdaq:EXC,37941280000
1110646,Nasdaq:NTES,50859112287
1110803,Nasdaq:ILMN,29396680000
1166691,Nasdaq:CMCSA,129262256976
1261333,Nasdaq:DOCU,10659731490
1262039,Nasdaq:FTNT,39794664000
1283699,Nasdaq:TMUS,173592210432
1318605,Nasdaq:TSLA,758712000000
1326801,Nasdaq:META,365653229622
1327567,Nasdaq:PANW,50873062000
1327811,Nasdaq:WDAY,39449900250
1329099,Nasdaq:BIDU,41549170000
1353283,Nasdaq:SPLK,12722323320
1397187,Nasdaq:LULU,37245963100
1413447,Nasdaq:NXPI,39451551280
1418135,Nasdaq:KDP,52237416000
1442145,Nasdaq:VRSK,27532440990
1535527,Nasdaq:CRWD,39582138350
1549802,Nasdaq:JD,77647360000
1559720,Nasdaq:ABNB,66570000000
1561550,Nasdaq:DDOG,28859627120
1585521,Nasdaq:ZM,21852007702
1618921,Nasdaq:WBA,28006548000
1633917,Nasdaq:PYPL,100605720000
1637459,Nasdaq:KHC,41634960000
1650372,Nasdaq:TEAM,55609096420
1652044,Nasdaq:GOOG,1280672100000
1660134,Nasdaq:OKTA,9176496560
1682852,Nasdaq:MRNA,47670060000
1713683,Nasdaq:ZS,24464092760
1730168,Nasdaq:AVGO,187291244166
1737806,Nasdaq:PDD,79213720250
1811210,Nasdaq:LCID,23647896253
1835632,Nasdaq:MRVL,37940700000
1868275,Nasdaq:CEG,28314930000