CIK,"('exchange_and_symbol', 'variation_0')",stock_price_at_prediction_date
2488,Nasdaq:AMD,101.55
4127,Nasdaq:SWKS,179.82
4904,Nasdaq:AEP,83.63
6281,Nasdaq:ADI,169.48
6951,Nasdaq:AMAT,135.53
8670,Nasdaq:ADP,198.81
50863,Nasdaq:INTC,65.63
72903,Nasdaq:XEL,63.75
75362,Nasdaq:PCAR,62.39
77476,Nasdaq:PEP,153.61
97476,Nasdaq:TXN,192.59
277948,Nasdaq:CSX,31.26
318154,Nasdaq:AMGN,215.11
319201,Nasdaq:KLAC,355.18
320193,Nasdaq:AAPL,142.94
707549,Nasdaq:LRCX,589.91
712515,Nasdaq:EA,131.41
718877,Nasdaq:ATVI,76.18
723125,Nasdaq:MU,72.37
723254,Nasdaq:CTAS,393.6
723531,Nasdaq:PAYX,108.38
743316,NASDAQ:MXIM,103.14
743988,NASDAQ:XLNX,149.94
745732,Nasdaq:ROST,113.13
769397,Nasdaq:ADSK,283.6
789019,Nasdaq:MSFT,294.3
796343,Nasdaq:ADBE,641.29
798354,NYSE:FI,107.33
804328,Nasdaq:QCOM,132.76
804753,NASDAQ:CERN,73.69
813672,Nasdaq:CDNS,160.93
815556,Nasdaq:FAST,52.9
827054,Nasdaq:MCHP,78.26
829224,Nasdaq:SBUX,111.82
858877,Nasdaq:CSCO,55.89
865752,Nasdaq:MNST,46.4
872589,Nasdaq:REGN,640.89
874716,Nasdaq:IDXX,659.78
875045,Nasdaq:BIIB,298.49
875320,Nasdaq:VRTX,185.67
879169,Nasdaq:INCY,75.91
882095,Nasdaq:GILD,70.96
883241,Nasdaq:SNPS,321.3
891103,NASDAQ:MTCH,151.46
896878,Nasdaq:INTU,554.4
898173,Nasdaq:ORLY,599.01
899866,NASDAQ:ALXN,182.5
900075,Nasdaq:CPRT,35.29
908937,Nasdaq:SIRI,6
909832,Nasdaq:COST,451.14
935703,Nasdaq:DLTR,87.68
937966,Nasdaq:ASML,840.74
1013462,Nasdaq:ANSS,356.4
1014473,Nasdaq:VRSN,214.08
1015922,Nasdaq:CHKP,117.2
1018724,Nasdaq:AMZN,167.79
1035267,Nasdaq:ISRG,338
1045810,Nasdaq:NVDA,21.11
1048286,Nasdaq:MAR,142.82
1058290,Nasdaq:CTSH,75.06
1060736,Nasdaq:SGEN,159.06
1065088,Nasdaq:EBAY,72.87
1065280,Nasdaq:NFLX,575.43
1075531,Nasdaq:BKNG,2340.74
1091667,Nasdaq:CHTR,755.9
1093557,Nasdaq:DXCM,139.44
1097149,Nasdaq:ALGN,709.64
1099590,Nasdaq:MELI,1820.7
1103982,Nasdaq:MDLZ,60.43
1109357,Nasdaq:EXC,35.46
1110646,Nasdaq:NTES,80.06
1110803,Nasdaq:ILMN,438
1166691,Nasdaq:CMCSA,56.49
1261333,Nasdaq:DOCU,271.29
1269238,Nasdaq:TCOM,41.21
1283699,Nasdaq:TMUS,126.11
1318605,Nasdaq:TSLA,243.39
1326801,Nasdaq:META,355.7
1327811,Nasdaq:WDAY,267.19
1329099,Nasdaq:BIDU,266.13
1353283,Nasdaq:SPLK,146.76
1397187,Nasdaq:LULU,419.53
1402057,Nasdaq:CDW,187.8
1413447,Nasdaq:NXPI,202.78
1418135,Nasdaq:KDP,34.32
1442145,Nasdaq:VRSK,201.7
1549802,Nasdaq:JD,84.97
1585521,Nasdaq:ZM,328.5
1618921,Nasdaq:WBA,53.11
1633917,Nasdaq:PYPL,269.91
1637459,Nasdaq:KHC,39.55
1639825,Nasdaq:PTON,109.54
1650372,Nasdaq:TEAM,400.59
1652044,Nasdaq:GOOG,139.02
1660134,Nasdaq:OKTA,252.65
1682852,Nasdaq:MRNA,423.33
1730168,Nasdaq:AVGO,494.82
1737806,Nasdaq:PDD,137.15
1754301,Nasdaq:FOX,37.13
1835632,Nasdaq:MRVL,60.68